City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Fortuna,US,40.5982,-124.1573,59.67,92,100,3.06,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,89.62,64,88,3.0,overcast clouds
107,Perth,AU,-31.9333,115.8333,62.1,79,100,17.27,overcast clouds
108,Chuy,UY,-33.6971,-53.4616,58.69,94,100,12.75,overcast clouds
109,Hobart,AU,-42.8794,147.3294,46.06,90,100,6.91,overcast clouds
110,Bogorodsk,RU,56.1033,43.5158,72.75,65,67,7.87,light rain
111,Banda Aceh,ID,5.5577,95.3222,81.79,79,100,15.03,overcast clouds
112,Seoul,KR,37.5683,126.9778,78.4,86,20,2.3,few clouds
113,Harper,LR,4.375,-7.7169,78.1,72,97,11.03,overcast clouds
114,Shelburne,CA,44.0787,-80.2041,64.9,42,13,8.84,few clouds
115,Vaini,TO,-21.2,-175.2,73.56,83,20,9.22,few clouds
116,Kuminskiy,RU,58.6667,66.5667,75.9,65,68,3.91,broken clouds
117,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.91,97,99,3.22,overcast clouds
118,Port-Gentil,GA,-0.7193,8.7815,78.76,69,20,17.27,few clouds
119,Berlevag,NO,70.8578,29.0864,57.0,82,75,13.8,broken clouds
120,Aripuana,BR,-9.1667,-60.6333,84.07,48,80,2.53,broken clouds
121,Kapaa,US,22.0752,-159.319,76.98,90,40,13.8,scattered clouds
122,Yumen,CN,40.2833,97.2,82.89,12,0,7.38,clear sky
123,Minna,NG,9.6139,6.5569,82.96,71,100,5.26,overcast clouds
124,Cape Town,ZA,-33.9258,18.4232,62.11,82,75,18.41,moderate rain
125,Agadez,NE,19.75,10.25,104.18,9,0,7.23,clear sky
126,Iberia,US,29.9502,-91.7507,90.97,68,46,8.59,scattered clouds
127,Guerrero Negro,MX,27.9769,-114.0611,70.03,76,54,12.39,broken clouds
128,Wilkie,CA,52.4168,-108.7014,61.18,97,39,5.37,light rain
129,Neuquen,AR,-38.9516,-68.0591,33.69,69,14,2.3,few clouds
130,Pacific Grove,US,36.6177,-121.9166,58.01,94,100,8.99,mist
131,Tiksi,RU,71.6872,128.8694,50.14,59,67,10.76,broken clouds
132,Marsh Harbour,BS,26.5412,-77.0636,83.17,70,8,9.37,clear sky
133,Kieta,PG,-6.2167,155.6333,78.48,80,32,6.85,scattered clouds
134,La Ronge,CA,55.1001,-105.2842,66.45,82,75,4.61,broken clouds
135,Hofn,IS,64.2539,-15.2082,49.33,90,100,2.17,overcast clouds
136,Najran,SA,17.4924,44.1277,95.65,17,100,8.77,overcast clouds
137,Torbay,CA,47.6666,-52.7314,68.29,76,75,8.05,broken clouds
138,Ponta Do Sol,PT,32.6667,-17.1,75.83,56,4,3.62,clear sky
139,Westport,US,41.1415,-73.3579,81.28,51,64,5.99,broken clouds
140,Katghora,IN,22.5,82.55,84.7,67,89,6.73,overcast clouds
141,Tenenkou,ML,14.4572,-4.9169,101.93,27,70,8.34,broken clouds
142,Hualmay,PE,-11.0964,-77.6139,64.4,75,63,9.71,broken clouds
143,Nikolskoye,RU,59.7035,30.7861,73.71,42,95,10.18,overcast clouds
144,Lebu,CL,-37.6167,-73.65,49.51,94,100,12.24,overcast clouds
145,Magadan,RU,59.5667,150.8,54.61,95,69,3.29,broken clouds
146,Pevek,RU,69.7008,170.3133,32.58,96,100,8.97,light snow
147,Viedma,AR,-40.8135,-62.9967,53.01,30,1,14.05,clear sky
148,Camacha,PT,33.0833,-16.3333,71.02,73,40,21.85,scattered clouds
149,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,66,52,8.79,broken clouds
